word,Central,Frontal,Occipital,Parietal,Temporal
affection,0,1,0,0,1
alarm clock,0,1,0,0,1
algorithm,0,1,0,0,0
appetizer,0,1,0,1,0
archery,0,1,1,1,1
argue,0,1,0,1,1
artificial intelligence,0,1,0,0,0
asteroid,0,1,0,0,1
astronaut,0,1,0,1,0
athlete,0,1,0,0,1
bake,0,1,0,1,1
bathe,0,1,1,1,0
bathtub,0,1,1,1,0
bed,0,1,0,1,0
beer,0,1,0,0,1
beverage,0,1,0,1,0
billiards,0,1,1,1,0
biology,0,1,0,0,1
black hole,0,1,0,0,1
blanket,0,1,0,1,0
Blend ,1,1,1,0,0
bling,0,1,1,1,0
blink,0,1,1,0,0
blurt,0,1,0,0,1
board games,0,1,0,1,0
bonding,0,1,0,0,1
bookshelf,0,1,0,1,0
bounce,0,1,0,1,0
box(ing),0,1,1,0,0
brush,0,1,0,1,0
build,0,1,0,1,0
bungee jumping,0,0,1,1,0
camaraderie,0,1,0,0,1
camping,0,1,1,1,0
car racing,0,1,1,1,1
cartwheel,0,1,1,1,1
cell,0,1,0,0,0
Chase ,0,1,1,1,0
chef,0,1,0,0,1
chemistry,0,1,0,1,1
chess,0,1,0,0,1
chew,0,1,0,1,1
child,0,1,0,0,1
Chisel ,0,1,0,0,0
chocolates,0,1,0,1,0
clap,1,1,0,1,0
clean,0,1,1,1,0
climb,0,1,0,1,0
closet,0,1,0,0,0
clothes,0,1,0,0,0
coach,0,1,0,0,1
colleague,0,1,0,0,1
comb,1,1,0,1,0
comet,0,1,1,0,1
comfort,0,1,0,0,1
comforter,0,1,0,1,0
communication,0,1,0,0,1
companionship,0,1,0,0,1
competition,0,1,0,0,1
compromise,0,1,0,0,1
conditioner,0,1,0,1,0
conflict,0,1,0,0,1
connection,0,1,0,0,1
cook,1,1,1,1,0
Cooking,0,1,1,1,1
cough,0,1,0,1,0
Crack ,0,1,1,0,0
crawl,0,1,0,1,0
cry,1,1,0,0,1
cuisine,0,1,0,0,1
curtains,0,1,1,1,0
Cycling,0,1,1,1,1
dance,1,1,0,0,1
data,0,1,0,0,1
debate,0,1,0,1,1
dessert,0,1,0,1,0
Dive ,1,1,1,0,0
diving,0,1,1,1,1
doing karate,0,1,1,1,1
doodle,0,1,1,0,0
dream,0,1,0,1,0
dresser,0,1,0,0,0
Drill ,0,1,1,1,0
drink,0,1,0,1,1
drive,1,1,1,1,0
Driving ,0,1,1,1,1
dunk,1,1,1,0,0
eat,0,1,0,1,1
ecology,0,1,0,0,0
empathy,0,1,0,0,1
encouragement,0,1,0,0,1
endurance,0,1,0,0,0
energy,0,1,0,0,1
engineering,0,1,0,0,0
evolution,0,1,0,0,1
exercising,0,1,0,1,0
experiment,0,1,0,0,0
face wash,0,1,0,1,0
fainting,0,1,0,1,0
fall,0,0,1,1,0
family,0,1,0,0,1
fashion,0,1,1,0,0
