word,central,frontal,occipital,parietal,temporal
jab,1,0,0,1,0
jack,1,0,0,1,0
jail,0,1,0,0,1
jam,1,1,0,1,0
jangle,1,1,0,0,1
jar,1,0,0,1,0
jaw,1,1,0,0,1
jaywalk,1,0,0,1,0
jazz,1,1,1,0,1
jeer,0,1,0,0,1
jell,0,1,0,0,0
jeopardize,0,1,0,0,1
jerk,1,0,0,1,0
jest,0,1,0,0,1
jet,1,0,1,1,0
jettison,1,1,0,1,0
jib,1,0,0,1,0
jiber,0,1,0,0,1
jig,1,0,0,1,0
jiggle,1,0,0,1,0
jilt,0,1,0,0,1
jingle,1,1,1,0,1
jink,1,1,1,1,0
jive,1,1,1,0,1
jog,1,0,1,1,0
join,1,1,0,1,1
joint,1,1,0,1,0
joke,0,1,0,0,1
jol,1,0,0,1,0
jolly,0,1,0,0,1
jolt,1,0,0,1,0
jostle,1,1,0,1,0
jot,0,1,0,0,1
journey,1,1,1,1,0
joust,1,1,1,1,0
judder,1,0,0,1,0
judge,0,1,0,0,1
juggle,1,1,0,1,1
juice,0,1,0,0,1
jumble,0,1,1,1,1
jump,1,0,1,1,0
junk,0,1,0,0,1
justify,0,1,0,0,1
jut,1,0,0,1,0
keel,1,0,0,1,0
keel-haul,1,1,0,1,0
keen,0,1,1,0,1
keep,0,1,0,0,1
ken,0,1,1,0,1
key,1,1,0,1,0
keyboard,1,1,0,1,1
kick,1,0,0,1,0
kick-start,1,1,0,1,0
kid,0,1,0,0,1
kidnap,1,1,0,1,1
kill,1,1,0,1,1
kindle,0,1,1,0,1
kink,1,1,0,1,0
kip,0,1,0,0,1
kiss,1,1,0,1,1
kit,1,1,0,1,0
kite,1,1,1,1,0
klap,1,0,0,1,0
knacker,1,1,0,1,0
knead,1,0,0,1,0
knee,1,0,0,1,0
knee-cap,1,0,0,1,0
kneel,1,0,0,1,0
knife,1,1,0,1,1
knight,1,1,1,1,1
knit,1,1,0,1,1
knock,1,0,0,1,0
knot,1,1,0,1,1
know,0,1,1,0,1
knuckle,1,0,0,1,0
kow-tow,1,1,0,1,0
kvetch,0,1,0,0,1
label,0,1,0,0,1
labour,1,1,0,1,0
lace,1,1,0,1,0
lacerate,1,1,0,1,0
lack,0,1,0,0,1
lacquer,1,1,0,1,0
lactate,1,0,0,1,0
ladder,1,0,0,1,0
ladle,1,1,0,1,0
lag,0,1,0,1,0
lam,1,1,0,1,0
lamb,0,1,0,0,1
lament,0,1,0,0,1
lampoon,0,1,0,0,1
lance,1,0,0,1,0
land,1,1,1,1,0
landscape,1,1,1,1,0
languish,0,1,0,0,1
lap,1,0,0,1,0
lapse,0,1,0,1,0
lard,1,0,0,1,0
large,0,1,0,0,1
lark,1,1,0,1,1
lash,1,0,0,1,0
last,0,1,0,0,1
latch,1,1,0,1,0
lather,1,1,0,1,0
laud,0,1,0,0,1
laugh,1,1,0,0,1
launch,1,1,0,1,0
launder,1,1,0,1,0
lavish,0,1,0,0,1
lay,1,0,0,1,0
layer,1,1,0,1,0
laze,0,1,0,0,1
leach,1,1,0,1,0
lead,1,1,0,1,1
leaf,0,1,1,1,0
leaflet,0,1,1,0,1
leak,1,1,0,1,0
lean,1,0,0,1,0
leap,1,0,0,1,0
leap-frog,1,1,0,1,0
learn,0,1,1,0,1
lease,0,1,0,0,1
leash,1,1,0,1,0
leave,1,1,0,1,0
leaven,1,0,0,1,0
lech,0,1,0,0,1
lecture,0,1,0,0,1
leer,1,1,1,0,1
leg,1,0,0,1,0
legislate,0,1,0,0,1
legitmise,0,1,0,0,1
lend,1,1,0,1,1
lengthen,1,1,0,1,0
leopard-crawl,1,0,0,1,0
lessen,1,1,0,1,0
let,0,1,0,0,1
letter,0,1,0,0,1
letter box,1,1,0,1,1
level,1,1,0,1,0
lever,1,1,0,1,0
levitate,1,1,1,1,0
levy,0,1,0,0,1
liaise,0,1,0,0,1
libel,0,1,0,0,1
liberate,1,1,0,1,1
license,0,1,0,0,1
lick,1,1,0,1,1
lie,0,1,0,0,1
life,0,1,0,0,1
light,1,1,1,0,1
lighten,1,1,1,1,0
like,0,1,0,0,1
liken,0,1,1,0,1
lime,1,1,0,1,0
limit,0,1,0,1,0
limp,1,0,0,1,0
line,1,1,0,1,0
linger,1,1,0,1,1
